DATETIMEDATA,PM25,WS,TEMP,RH,WD,stationID
2023-12-07 10:00:00,18.9,1,31,55,73,02t
2023-12-07 11:00:00,14.7,1,32,51,70,02t
2023-12-07 12:00:00,19.5,1,33,48,80,02t
2023-12-07 13:00:00,14.4,1,33,48,72,02t
2023-12-07 14:00:00,12.6,1,32,50,65,02t
2023-12-07 15:00:00,12.2,1,32,51,68,02t
2023-12-07 16:00:00,14.8,1,32,51,91,02t
2023-12-07 17:00:00,18.4,1,31,53,84,02t
2023-12-07 18:00:00,20.2,0,31,56,102,02t
2023-12-07 19:00:00,18.7,1,30,57,98,02t
2023-12-07 20:00:00,21.9,1,30,58,87,02t
2023-12-07 21:00:00,23.2,0,29,58,111,02t
2023-12-07 22:00:00,24.5,0,29,58,89,02t
2023-12-07 23:00:00,20.4,0,29,59,58,02t
2023-12-08 00:00:00,17.7,0,28,60,94,02t
2023-12-08 01:00:00,19.5,0,28,61,42,02t
2023-12-08 02:00:00,22.5,0,28,62,98,02t
2023-12-08 03:00:00,23.9,0,28,63,3,02t
2023-12-08 04:00:00,21.4,0,27,64,307,02t
2023-12-08 05:00:00,23.2,0,27,66,40,02t
2023-12-08 06:00:00,25.9,0,27,67,319,02t
2023-12-08 07:00:00,29.1,0,28,68,19,02t
2023-12-08 08:00:00,34.5,1,28,67,50,02t
2023-12-08 09:00:00,31.9,1,29,61,71,02t
2023-12-08 10:00:00,26.9,1,31,56,62,02t
2023-12-08 11:00:00,26.1,1,32,50,78,02t
2023-12-08 12:00:00,23.7,1,34,46,57,02t
2023-12-08 13:00:00,22.7,1,33,46,53,02t
2023-12-08 14:00:00,20.8,1,33,46,37,02t
2023-12-08 15:00:00,26.9,1,33,47,325,02t
2023-12-08 16:00:00,30.4,1,33,47,35,02t
2023-12-08 17:00:00,27.6,1,33,48,33,02t
2023-12-08 18:00:00,26.2,1,32,50,58,02t
2023-12-08 19:00:00,29.5,1,32,53,5,02t
2023-12-08 20:00:00,42.6,1,31,56,344,02t
2023-12-08 21:00:00,48.0,0,30,59,0,02t
2023-12-08 22:00:00,48.2,0,30,60,4,02t
2023-12-08 23:00:00,45.1,0,29,61,77,02t
2023-12-09 00:00:00,41.1,0,29,62,72,02t
2023-12-09 01:00:00,44.0,0,29,64,96,02t
2023-12-09 02:00:00,41.1,0,29,64,80,02t
2023-12-09 03:00:00,38.3,0,29,64,103,02t
2023-12-09 04:00:00,33.6,0,28,64,96,02t
2023-12-09 05:00:00,31.6,0,28,65,52,02t
2023-12-09 06:00:00,34.9,0,28,66,276,02t
2023-12-09 07:00:00,39.8,0,28,69,281,02t
2023-12-09 08:00:00,48.5,0,28,70,301,02t
2023-12-09 09:00:00,44.0,0,30,67,45,02t
2023-12-09 10:00:00,31.2,1,31,59,52,02t
2023-12-09 11:00:00,30.6,1,33,53,30,02t
2023-12-09 12:00:00,32.7,1,34,48,16,02t
2023-12-09 13:00:00,33.6,1,34,45,4,02t
2023-12-09 14:00:00,30.2,0,34,46,62,02t
2023-12-09 15:00:00,31.5,1,33,50,272,02t
2023-12-09 16:00:00,42.3,1,34,51,265,02t
2023-12-09 17:00:00,40.2,1,33,51,278,02t
2023-12-09 18:00:00,47.5,1,32,54,258,02t
2023-12-09 19:00:00,54.6,0,31,55,277,02t
2023-12-09 20:00:00,63.2,0,30,58,278,02t
2023-12-09 21:00:00,76.6,0,30,60,284,02t
2023-12-09 22:00:00,88.9,0,30,62,287,02t
2023-12-09 23:00:00,102.1,0,29,63,247,02t
2023-12-10 00:00:00,98.1,0,29,65,324,02t
2023-12-10 01:00:00,96.7,0,28,66,359,02t
2023-12-10 02:00:00,90.3,0,28,67,290,02t
2023-12-10 03:00:00,97.4,0,28,68,281,02t
2023-12-10 04:00:00,106.6,0,28,69,289,02t
2023-12-10 05:00:00,96.2,0,27,70,282,02t
2023-12-10 06:00:00,82.8,0,27,70,285,02t
2023-12-10 07:00:00,79.8,0,27,72,269,02t
2023-12-10 08:00:00,82.9,0,28,73,340,02t
2023-12-10 09:00:00,80.5,0,29,72,17,02t
2023-12-10 10:00:00,77.1,1,31,66,15,02t
2023-12-10 11:00:00,67.3,0,33,57,49,02t
2023-12-10 12:00:00,65.1,0,33,53,338,02t
2023-12-10 13:00:00,60.1,1,34,48,278,02t
2023-12-10 14:00:00,60.8,1,34,51,277,02t
2023-12-10 15:00:00,55.9,1,33,50,272,02t
2023-12-10 16:00:00,41.8,1,33,51,283,02t
2023-12-10 17:00:00,32.9,1,32,51,271,02t
2023-12-10 18:00:00,30.2,0,31,53,344,02t
2023-12-10 19:00:00,36.5,0,31,57,302,02t
2023-12-10 20:00:00,37.9,0,30,61,308,02t
2023-12-10 21:00:00,37.2,0,30,63,287,02t
2023-12-10 22:00:00,41.9,0,29,64,300,02t
2023-12-10 23:00:00,49.8,0,29,66,312,02t
2023-12-11 00:00:00,39.5,0,29,68,319,02t
2023-12-11 01:00:00,46.6,0,29,69,312,02t
2023-12-11 02:00:00,32.1,0,28,70,307,02t
2023-12-11 03:00:00,31.5,0,28,71,17,02t
2023-12-11 04:00:00,29.8,0,28,72,304,02t
2023-12-11 05:00:00,33.3,0,28,73,302,02t
2023-12-11 06:00:00,34.2,0,28,73,316,02t
2023-12-11 07:00:00,40.8,0,28,74,298,02t
2023-12-11 08:00:00,45.8,0,29,75,292,02t
2023-12-11 09:00:00,37.4,0,30,75,292,02t
2023-12-11 10:00:00,50.7,0,31,68,284,02t
2023-12-11 11:00:00,47.0,1,33,57,60,02t
2023-12-11 12:00:00,32.6,1,34,51,75,02t
2023-12-11 13:00:00,38.3,0,34,48,57,02t
2023-12-11 14:00:00,42.7,1,34,51,277,02t
2023-12-11 15:00:00,44.5,1,33,53,273,02t
2023-12-11 16:00:00,34.4,1,34,53,268,02t
2023-12-11 17:00:00,35.6,1,33,53,260,02t
2023-12-11 18:00:00,40.4,0,32,54,274,02t
2023-12-11 19:00:00,46.1,0,31,58,289,02t
2023-12-11 20:00:00,44.9,0,31,60,281,02t
2023-12-11 21:00:00,43.1,0,30,60,273,02t
2023-12-11 22:00:00,42.8,0,29,61,268,02t
2023-12-11 23:00:00,45.3,0,29,63,245,02t
2023-12-12 00:00:00,47.5,0,29,64,264,02t
2023-12-12 01:00:00,60.7,0,29,66,283,02t
2023-12-12 02:00:00,51.3,0,28,67,297,02t
2023-12-12 03:00:00,54.4,0,28,69,323,02t
2023-12-12 04:00:00,56.6,0,28,70,278,02t
2023-12-12 05:00:00,62.2,0,28,71,296,02t
2023-12-12 06:00:00,83.4,0,28,72,289,02t
2023-12-12 07:00:00,84.9,0,28,73,290,02t
2023-12-12 08:00:00,77.7,0,28,73,297,02t
2023-12-12 09:00:00,66.7,0,29,72,43,02t
2023-12-12 10:00:00,58.5,0,31,64,80,02t
2023-12-12 11:00:00,46.6,1,33,55,73,02t
2023-12-12 12:00:00,38.8,0,34,45,102,02t
2023-12-12 13:00:00,16.2,0,36,38,84,02t
2023-12-12 14:00:00,25.1,1,35,37,84,02t
2023-12-12 15:00:00,26.2,1,35,38,75,02t
2023-12-12 16:00:00,31.2,0,34,41,95,02t
2023-12-12 17:00:00,30.7,0,34,42,86,02t
2023-12-12 18:00:00,26.2,0,33,46,15,02t
2023-12-12 19:00:00,38.9,1,32,53,262,02t
2023-12-12 20:00:00,50.9,1,32,56,254,02t
2023-12-12 21:00:00,55.2,0,31,57,300,02t
2023-12-12 22:00:00,61.6,0,30,60,306,02t
2023-12-12 23:00:00,56.7,0,30,63,322,02t
2023-12-13 00:00:00,41.3,0,30,65,303,02t
2023-12-13 01:00:00,51.3,0,29,66,300,02t
2023-12-13 02:00:00,36.6,0,29,67,289,02t
2023-12-13 03:00:00,40.8,0,29,68,305,02t
2023-12-13 04:00:00,43.3,0,29,69,309,02t
2023-12-13 05:00:00,51.7,0,28,70,299,02t
2023-12-13 06:00:00,60.8,0,28,71,23,02t
2023-12-13 07:00:00,80.5,0,29,72,68,02t
2023-12-13 08:00:00,77.7,1,29,73,74,02t
2023-12-13 09:00:00,68.7,1,30,70,57,02t
2023-12-13 10:00:00,61.1,1,31,65,70,02t
2023-12-13 11:00:00,44.2,1,32,59,91,02t
2023-12-13 12:00:00,31.9,1,33,51,77,02t
2023-12-13 13:00:00,17.6,1,34,47,81,02t
2023-12-13 14:00:00,27.3,1,34,46,78,02t
2023-12-13 15:00:00,20.7,1,34,44,79,02t
2023-12-13 16:00:00,23.8,1,34,44,84,02t
2023-12-13 17:00:00,27.4,1,33,46,86,02t
2023-12-13 18:00:00,30.2,1,32,48,91,02t
2023-12-13 19:00:00,27.1,1,32,50,92,02t
2023-12-13 20:00:00,29.3,1,32,52,100,02t
2023-12-13 21:00:00,24.4,0,31,52,102,02t
2023-12-13 22:00:00,26.6,1,31,52,91,02t
2023-12-13 23:00:00,27.4,1,31,54,92,02t
2023-12-14 00:00:00,28.3,0,30,56,92,02t
2023-12-14 01:00:00,26.4,0,30,56,106,02t
2023-12-14 02:00:00,25.2,0,29,57,105,02t
2023-12-14 03:00:00,29.7,0,29,58,102,02t
2023-12-14 04:00:00,32.1,0,29,60,66,02t
2023-12-14 05:00:00,34.5,0,29,61,61,02t
2023-12-14 06:00:00,32.0,0,28,63,73,02t
2023-12-14 07:00:00,38.8,1,28,64,61,02t
2023-12-14 08:00:00,35.9,1,29,62,74,02t
2023-12-14 09:00:00,32.6,1,30,58,77,02t
2023-12-14 10:00:00,29.2,1,32,52,75,02t
2023-12-14 11:00:00,24.5,1,33,46,79,02t
2023-12-14 12:00:00,21.6,1,35,43,75,02t
2023-12-14 13:00:00,21.7,1,35,41,74,02t
2023-12-14 14:00:00,24.0,1,34,41,68,02t
2023-12-14 15:00:00,21.4,1,34,42,70,02t
2023-12-14 16:00:00,20.9,1,33,44,70,02t
2023-12-14 17:00:00,19.6,1,33,43,99,02t
2023-12-14 18:00:00,24.8,0,32,46,87,02t
2023-12-14 19:00:00,23.1,0,32,48,65,02t
2023-12-14 20:00:00,24.0,0,31,50,86,02t
2023-12-14 21:00:00,32.7,0,31,52,83,02t
2023-12-14 22:00:00,31.7,0,31,54,342,02t
2023-12-14 23:00:00,38.8,0,30,56,14,02t
2023-12-15 00:00:00,44.5,0,30,57,66,02t
2023-12-15 01:00:00,41.8,0,29,58,63,02t
2023-12-15 02:00:00,42.2,0,29,60,58,02t
2023-12-15 03:00:00,39.0,0,29,60,56,02t
2023-12-15 04:00:00,46.0,0,29,61,324,02t
2023-12-15 05:00:00,43.0,0,28,62,332,02t
2023-12-15 06:00:00,50.5,0,28,63,349,02t
2023-12-15 07:00:00,56.3,0,28,65,300,02t
2023-12-15 08:00:00,63.7,0,29,67,339,02t
2023-12-15 09:00:00,70.2,1,30,65,23,02t
2023-12-15 10:00:00,63.7,1,31,60,5,02t
2023-12-15 11:00:00,54.6,1,32,54,33,02t
2023-12-15 12:00:00,45.3,1,34,48,46,02t
2023-12-15 13:00:00,41.4,1,34,43,49,02t
2023-12-15 14:00:00,24.1,1,34,42,66,02t
2023-12-15 15:00:00,25.2,1,34,42,67,02t
2023-12-15 16:00:00,25.3,0,34,43,41,02t
2023-12-15 17:00:00,29.0,0,34,43,50,02t
2023-12-15 18:00:00,30.2,1,33,47,273,02t
2023-12-15 19:00:00,44.5,1,32,51,278,02t
2023-12-15 20:00:00,46.9,0,32,53,282,02t
2023-12-15 21:00:00,52.8,0,31,55,278,02t
2023-12-15 22:00:00,54.4,0,30,57,269,02t
2023-12-15 23:00:00,58.1,0,30,58,279,02t
2023-12-16 00:00:00,58.1,0,29,60,199,02t
2023-12-16 01:00:00,66.0,0,29,62,72,02t
2023-12-16 02:00:00,47.3,0,29,62,107,02t
2023-12-16 03:00:00,50.3,0,29,62,52,02t
2023-12-16 04:00:00,53.4,0,28,63,91,02t
2023-12-16 05:00:00,56.7,0,28,64,19,02t
2023-12-16 06:00:00,56.6,0,28,66,287,02t
2023-12-16 07:00:00,65.0,0,28,69,279,02t
2023-12-16 08:00:00,73.1,0,28,69,49,02t
2023-12-16 09:00:00,65.6,1,30,66,44,02t
2023-12-16 10:00:00,56.3,1,32,58,52,02t
2023-12-16 11:00:00,44.9,1,34,49,69,02t
2023-12-16 12:00:00,32.8,1,35,43,78,02t
2023-12-16 13:00:00,28.8,1,35,38,68,02t
2023-12-16 14:00:00,24.6,1,35,38,69,02t
2023-12-16 15:00:00,24.6,1,35,38,81,02t
2023-12-16 16:00:00,21.1,0,35,38,96,02t
2023-12-16 17:00:00,21.5,0,34,38,98,02t
2023-12-16 18:00:00,25.2,0,33,41,123,02t
2023-12-16 19:00:00,34.4,0,33,49,277,02t
2023-12-16 20:00:00,76.1,0,32,53,284,02t
2023-12-16 21:00:00,67.9,0,31,55,172,02t
2023-12-16 22:00:00,65.2,0,31,57,108,02t
2023-12-16 23:00:00,54.1,0,31,56,85,02t
2023-12-17 00:00:00,42.5,0,31,58,185,02t
2023-12-17 01:00:00,46.3,0,31,61,23,02t
2023-12-17 02:00:00,54.0,0,30,62,253,02t
2023-12-17 03:00:00,51.9,0,30,65,287,02t
2023-12-17 04:00:00,58.4,0,30,66,285,02t
2023-12-17 05:00:00,64.0,0,29,67,109,02t
2023-12-17 06:00:00,68.8,0,29,69,78,02t
2023-12-17 07:00:00,59.0,1,29,69,91,02t
2023-12-17 08:00:00,48.4,1,30,61,84,02t
2023-12-17 09:00:00,26.3,1,31,55,95,02t
2023-12-17 10:00:00,22.5,2,32,50,88,02t
2023-12-17 11:00:00,24.7,1,33,48,85,02t
2023-12-17 12:00:00,18.5,1,35,44,81,02t
2023-12-17 13:00:00,17.9,1,35,41,80,02t
2023-12-17 14:00:00,19.1,1,35,41,88,02t
2023-12-17 15:00:00,17.6,2,35,41,78,02t
2023-12-17 16:00:00,20.2,1,34,41,80,02t
2023-12-17 17:00:00,18.8,1,34,44,78,02t
2023-12-17 18:00:00,18.4,1,33,46,93,02t
2023-12-17 19:00:00,20.0,1,32,48,81,02t
2023-12-17 20:00:00,23.1,0,32,50,90,02t
2023-12-17 21:00:00,25.1,1,32,50,91,02t
2023-12-17 22:00:00,25.5,0,32,50,87,02t
2023-12-17 23:00:00,23.2,0,31,52,95,02t
2023-12-18 00:00:00,24.0,0,31,52,101,02t
2023-12-18 01:00:00,23.2,1,30,54,93,02t
2023-12-18 02:00:00,21.7,1,30,53,94,02t
2023-12-18 03:00:00,22.7,0,29,53,97,02t
2023-12-18 04:00:00,13.9,0,29,54,94,02t
2023-12-18 05:00:00,18.0,0,29,55,78,02t
2023-12-18 06:00:00,19.6,0,28,56,79,02t
2023-12-18 07:00:00,19.4,1,28,58,57,02t
2023-12-18 08:00:00,23.9,1,28,57,59,02t
2023-12-18 09:00:00,21.2,1,29,56,45,02t
2023-12-18 10:00:00,24.9,1,30,54,30,02t
2023-12-18 11:00:00,23.3,1,32,49,49,02t
2023-12-18 12:00:00,21.9,1,33,44,51,02t
2023-12-18 13:00:00,17.5,1,33,42,52,02t
2023-12-18 14:00:00,14.4,1,33,43,66,02t
2023-12-18 15:00:00,14.8,1,33,44,58,02t
2023-12-18 16:00:00,18.8,1,33,44,77,02t
2023-12-18 17:00:00,23.3,1,33,46,34,02t
2023-12-18 18:00:00,34.2,1,32,50,17,02t
